"mean_k","filing_year","Ctry_code"
19.2415909359141,1984,"Japan"
14.3407916299004,1984,"Germany"
12.8521126760563,1984,"Switzerland"
14.5173099078341,1984,"United States"
0,1984,"China"
19.2582954443974,1984.10367892977,"Japan"
14.3328249271601,1984.10367892977,"Germany"
12.8464983594932,1984.10367892977,"Switzerland"
14.5354439374239,1984.10367892977,"United States"
0,1984.10367892977,"China"
19.2749999528807,1984.20735785953,"Japan"
14.3248582244197,1984.20735785953,"Germany"
12.8408840429301,1984.20735785953,"Switzerland"
14.5535779670137,1984.20735785953,"United States"
0,1984.20735785953,"China"
19.291704461364,1984.3110367893,"Japan"
14.3168915216794,1984.3110367893,"Germany"
12.8352697263669,1984.3110367893,"Switzerland"
14.5717119966035,1984.3110367893,"United States"
0,1984.3110367893,"China"
19.3084089698473,1984.41471571906,"Japan"
14.3089248189391,1984.41471571906,"Germany"
12.8296554098038,1984.41471571906,"Switzerland"
14.5898460261933,1984.41471571906,"United States"
0,1984.41471571906,"China"
19.3251134783306,1984.51839464883,"Japan"
14.3009581161987,1984.51839464883,"Germany"
12.8240410932407,1984.51839464883,"Switzerland"
14.6079800557831,1984.51839464883,"United States"
0,1984.51839464883,"China"
19.3418179868139,1984.6220735786,"Japan"
14.2929914134584,1984.6220735786,"Germany"
12.8184267766775,1984.6220735786,"Switzerland"
14.6261140853729,1984.6220735786,"United States"
0,1984.6220735786,"China"
19.3585224952972,1984.72575250836,"Japan"
14.285024710718,1984.72575250836,"Germany"
12.8128124601144,1984.72575250836,"Switzerland"
14.6442481149627,1984.72575250836,"United States"
0,1984.72575250836,"China"
19.3752270037805,1984.82943143813,"Japan"
14.2770580079777,1984.82943143813,"Germany"
12.8071981435513,1984.82943143813,"Switzerland"
14.6623821445525,1984.82943143813,"United States"
0,1984.82943143813,"China"
19.3919315122638,1984.93311036789,"Japan"
14.2690913052373,1984.93311036789,"Germany"
12.8015838269881,1984.93311036789,"Switzerland"
14.6805161741423,1984.93311036789,"United States"
0,1984.93311036789,"China"
19.4073791434464,1985.03678929766,"Japan"
14.2622025450239,1985.03678929766,"Germany"
12.8004247118372,1985.03678929766,"Switzerland"
14.6972038286699,1985.03678929766,"United States"
0,1985.03678929766,"China"
19.4205415431733,1985.14046822742,"Japan"
14.257273680314,1985.14046822742,"Germany"
12.8073659628904,1985.14046822742,"Switzerland"
14.7112617103571,1985.14046822742,"United States"
0,1985.14046822742,"China"
19.4337039429001,1985.24414715719,"Japan"
14.2523448156041,1985.24414715719,"Germany"
12.8143072139437,1985.24414715719,"Switzerland"
14.7253195920443,1985.24414715719,"United States"
0,1985.24414715719,"China"
19.446866342627,1985.34782608696,"Japan"
14.2474159508942,1985.34782608696,"Germany"
12.8212484649969,1985.34782608696,"Switzerland"
14.7393774737315,1985.34782608696,"United States"
0,1985.34782608696,"China"
19.4600287423538,1985.45150501672,"Japan"
14.2424870861843,1985.45150501672,"Germany"
12.8281897160501,1985.45150501672,"Switzerland"
14.7534353554186,1985.45150501672,"United States"
0,1985.45150501672,"China"
19.4731911420806,1985.55518394649,"Japan"
14.2375582214743,1985.55518394649,"Germany"
12.8351309671033,1985.55518394649,"Switzerland"
14.7674932371058,1985.55518394649,"United States"
0,1985.55518394649,"China"
19.4863535418075,1985.65886287625,"Japan"
14.2326293567644,1985.65886287625,"Germany"
12.8420722181565,1985.65886287625,"Switzerland"
14.781551118793,1985.65886287625,"United States"
0,1985.65886287625,"China"
19.4995159415343,1985.76254180602,"Japan"
14.2277004920545,1985.76254180602,"Germany"
12.8490134692097,1985.76254180602,"Switzerland"
14.7956090004802,1985.76254180602,"United States"
0,1985.76254180602,"China"
19.5126783412612,1985.86622073579,"Japan"
14.2227716273446,1985.86622073579,"Germany"
12.8559547202629,1985.86622073579,"Switzerland"
14.8096668821673,1985.86622073579,"United States"
0,1985.86622073579,"China"
19.525840740988,1985.96989966555,"Japan"
14.2178427626347,1985.96989966555,"Germany"
12.8628959713161,1985.96989966555,"Switzerland"
14.8237247638545,1985.96989966555,"United States"
0,1985.96989966555,"China"
19.5377183905851,1986.07357859532,"Japan"
14.2181327997454,1986.07357859532,"Germany"
12.860088395741,1986.07357859532,"Switzerland"
14.8338474447778,1986.07357859532,"United States"
0,1986.07357859532,"China"
19.5490704605836,1986.17725752508,"Japan"
14.2205578421465,1986.17725752508,"Germany"
12.853292663818,1986.17725752508,"Switzerland"
14.8423602708432,1986.17725752508,"United States"
0,1986.17725752508,"China"
19.5604225305822,1986.28093645485,"Japan"
14.2229828845476,1986.28093645485,"Germany"
12.846496931895,1986.28093645485,"Switzerland"
14.8508730969085,1986.28093645485,"United States"
0,1986.28093645485,"China"
19.5717746005807,1986.38461538462,"Japan"
14.2254079269487,1986.38461538462,"Germany"
12.8397011999721,1986.38461538462,"Switzerland"
14.8593859229739,1986.38461538462,"United States"
0,1986.38461538462,"China"
19.5831266705792,1986.48829431438,"Japan"
14.2278329693498,1986.48829431438,"Germany"
12.8329054680491,1986.48829431438,"Switzerland"
14.8678987490393,1986.48829431438,"United States"
0,1986.48829431438,"China"
19.5944787405778,1986.59197324415,"Japan"
14.2302580117509,1986.59197324415,"Germany"
12.8261097361261,1986.59197324415,"Switzerland"
14.8764115751046,1986.59197324415,"United States"
0,1986.59197324415,"China"
19.6058308105763,1986.69565217391,"Japan"
14.232683054152,1986.69565217391,"Germany"
12.8193140042031,1986.69565217391,"Switzerland"
14.88492440117,1986.69565217391,"United States"
0,1986.69565217391,"China"
19.6171828805748,1986.79933110368,"Japan"
