"","countries","year","variable","value","type"
"106","China",2019,"firm_uni_share",0.308488446726573,"several"
"107","China",2020,"firm_uni_share",0.328629032258065,"several"
"108","China",2021,"firm_uni_share",0.326239242110881,"several"
"109","Denmark",1986,"firm_uni_share",0.357142857142857,"several"
"110","Denmark",1987,"firm_uni_share",0.307692307692308,"several"
"111","Denmark",1988,"firm_uni_share",0.238095238095238,"several"
"112","Denmark",1989,"firm_uni_share",0.263157894736842,"several"
"113","Denmark",1990,"firm_uni_share",0.272727272727273,"several"
"114","Denmark",1991,"firm_uni_share",0.288461538461538,"several"
"115","Denmark",1992,"firm_uni_share",0.222222222222222,"several"
"116","Denmark",1993,"firm_uni_share",0.296296296296296,"several"
"117","Denmark",1994,"firm_uni_share",0.27710843373494,"several"
"118","Denmark",1995,"firm_uni_share",0.247524752475248,"several"
"119","Denmark",1996,"firm_uni_share",0.446601941747573,"several"
"120","Denmark",1997,"firm_uni_share",0.439716312056738,"several"
"121","Denmark",1998,"firm_uni_share",0.326923076923077,"several"
"122","Denmark",1999,"firm_uni_share",0.405172413793103,"several"
"123","Denmark",2000,"firm_uni_share",0.384615384615385,"several"
"124","Denmark",2001,"firm_uni_share",0.405228758169935,"several"
"125","Denmark",2002,"firm_uni_share",0.412698412698413,"several"
"126","Denmark",2003,"firm_uni_share",0.52112676056338,"several"
"127","Denmark",2004,"firm_uni_share",0.476190476190476,"several"
"128","Denmark",2005,"firm_uni_share",0.53448275862069,"several"
"129","Denmark",2006,"firm_uni_share",0.427835051546392,"several"
"130","Denmark",2007,"firm_uni_share",0.515151515151515,"several"
"131","Denmark",2008,"firm_uni_share",0.471204188481675,"several"
"132","Denmark",2009,"firm_uni_share",0.555555555555556,"several"
"133","Denmark",2010,"firm_uni_share",0.511961722488038,"several"
"134","Denmark",2011,"firm_uni_share",0.460251046025105,"several"
"135","Denmark",2012,"firm_uni_share",0.5,"several"
"136","Denmark",2013,"firm_uni_share",0.607843137254902,"several"
"137","Denmark",2014,"firm_uni_share",0.517543859649123,"several"
"138","Denmark",2015,"firm_uni_share",0.605,"several"
"139","Denmark",2016,"firm_uni_share",0.636363636363636,"several"
"140","Denmark",2017,"firm_uni_share",0.55440414507772,"several"
"141","Denmark",2018,"firm_uni_share",0.611814345991561,"several"
"142","Denmark",2019,"firm_uni_share",0.688679245283019,"several"
"143","Denmark",2020,"firm_uni_share",0.596899224806202,"several"
"144","Denmark",2021,"firm_uni_share",0.667953667953668,"several"
"145","France",1986,"firm_uni_share",0.193798449612403,"several"
"146","France",1987,"firm_uni_share",0.158620689655172,"several"
"147","France",1988,"firm_uni_share",0.221739130434783,"several"
"148","France",1989,"firm_uni_share",0.23021582733813,"several"
"149","France",1990,"firm_uni_share",0.267379679144385,"several"
"150","France",1991,"firm_uni_share",0.27,"several"
"151","France",1992,"firm_uni_share",0.246315789473684,"several"
"152","France",1993,"firm_uni_share",0.248587570621469,"several"
"153","France",1994,"firm_uni_share",0.355694227769111,"several"
"154","France",1995,"firm_uni_share",0.312584573748309,"several"
"155","France",1996,"firm_uni_share",0.420158550396376,"several"
"156","France",1997,"firm_uni_share",0.455445544554455,"several"
"157","France",1998,"firm_uni_share",0.439325842696629,"several"
"158","France",1999,"firm_uni_share",0.494674556213018,"several"
"159","France",2000,"firm_uni_share",0.450439146800502,"several"
"160","France",2001,"firm_uni_share",0.447969543147208,"several"
"161","France",2002,"firm_uni_share",0.447229551451187,"several"
"162","France",2003,"firm_uni_share",0.49234693877551,"several"
"163","France",2004,"firm_uni_share",0.547586206896552,"several"
"164","France",2005,"firm_uni_share",0.546035805626598,"several"
"165","France",2006,"firm_uni_share",0.567267683772538,"several"
"166","France",2007,"firm_uni_share",0.620320855614973,"several"
"167","France",2008,"firm_uni_share",0.651982378854626,"several"
"168","France",2009,"firm_uni_share",0.706293706293706,"several"
"169","France",2010,"firm_uni_share",0.720478325859492,"several"
"170","France",2011,"firm_uni_share",0.698507462686567,"several"
"171","France",2012,"firm_uni_share",0.723611111111111,"several"
"172","France",2013,"firm_uni_share",0.760416666666667,"several"
"173","France",2014,"firm_uni_share",0.768518518518518,"several"
"174","France",2015,"firm_uni_share",0.772511848341232,"several"
"175","France",2016,"firm_uni_share",0.77938808373591,"several"
"176","France",2017,"firm_uni_share",0.734662576687117,"several"
"177","France",2018,"firm_uni_share",0.731707317073171,"several"
"178","France",2019,"firm_uni_share",0.719754977029097,"several"
"179","France",2020,"firm_uni_share",0.643712574850299,"several"
"180","France",2021,"firm_uni_share",0.66566265060241,"several"
"181","Germany",1986,"firm_uni_share",0.146341463414634,"several"
"182","Germany",1987,"firm_uni_share",0.154285714285714,"several"
"183","Germany",1988,"firm_uni_share",0.114173228346457,"several"
"184","Germany",1989,"firm_uni_share",0.120879120879121,"several"
"185","Germany",1990,"firm_uni_share",0.161375661375661,"several"
"186","Germany",1991,"firm_uni_share",0.147869674185464,"several"
"187","Germany",1992,"firm_uni_share",0.213636363636364,"several"
"188","Germany",1993,"firm_uni_share",0.186868686868687,"several"
"189","Germany",1994,"firm_uni_share",0.243137254901961,"several"
"190","Germany",1995,"firm_uni_share",0.217592592592593,"several"
"191","Germany",1996,"firm_uni_share",0.320939334637965,"several"
"192","Germany",1997,"firm_uni_share",0.320686540198735,"several"
"193","Germany",1998,"firm_uni_share",0.314606741573034,"several"
"194","Germany",1999,"firm_uni_share",0.310344827586207,"several"
"195","Germany",2000,"firm_uni_share",0.301392301392301,"several"
"196","Germany",2001,"firm_uni_share",0.261041009463722,"several"
"197","Germany",2002,"firm_uni_share",0.291873963515755,"several"
"198","Germany",2003,"firm_uni_share",0.314043209876543,"several"
"199","Germany",2004,"firm_uni_share",0.364393939393939,"several"
"200","Germany",2005,"firm_uni_share",0.388673390224981,"several"
"201","Germany",2006,"firm_uni_share",0.376301040832666,"several"
"202","Germany",2007,"firm_uni_share",0.387591240875912,"several"
"203","Germany",2008,"firm_uni_share",0.406032482598608,"several"
"204","Germany",2009,"firm_uni_share",0.429110105580694,"several"
"205","Germany",2010,"firm_uni_share",0.416167664670659,"several"
"206","Germany",2011,"firm_uni_share",0.423192771084337,"several"
"207","Germany",2012,"firm_uni_share",0.442490842490842,"several"
"208","Germany",2013,"firm_uni_share",0.466812545587163,"several"
"209","Germany",2014,"firm_uni_share",0.459683496608892,"several"
"210","Germany",2015,"firm_uni_share",0.506060606060606,"several"
"211","Germany",2016,"firm_uni_share",0.476038338658147,"several"
"212","Germany",2017,"firm_uni_share",0.51407884151247,"several"
"213","Germany",2018,"firm_uni_share",0.538152610441767,"several"
"214","Germany",2019,"firm_uni_share",0.55421686746988,"several"
"215","Germany",2020,"firm_uni_share",0.545387453874539,"several"
"216","Germany",2021,"firm_uni_share",0.577139287945034,"several"
"217","Israel",1986,"firm_uni_share",0.307692307692308,"several"
"218","Israel",1987,"firm_uni_share",0.379310344827586,"several"
"219","Israel",1988,"firm_uni_share",0.238095238095238,"several"
"220","Israel",1989,"firm_uni_share",0.240740740740741,"several"
"221","Israel",1990,"firm_uni_share",0.231884057971014,"several"
"222","Israel",1991,"firm_uni_share",0.254237288135593,"several"
"223","Israel",1992,"firm_uni_share",0.158730158730159,"several"
"224","Israel",1993,"firm_uni_share",0.258426966292135,"several"
"225","Israel",1994,"firm_uni_share",0.333333333333333,"several"
"226","Israel",1995,"firm_uni_share",0.166666666666667,"several"
"227","Israel",1996,"firm_uni_share",0.341085271317829,"several"
"228","Israel",1997,"firm_uni_share",0.4375,"several"
"229","Israel",1998,"firm_uni_share",0.386363636363636,"several"
"230","Israel",1999,"firm_uni_share",0.408450704225352,"several"
"231","Israel",2000,"firm_uni_share",0.364963503649635,"several"
"232","Israel",2001,"firm_uni_share",0.357142857142857,"several"
"233","Israel",2002,"firm_uni_share",0.340425531914894,"several"
"234","Israel",2003,"firm_uni_share",0.482517482517482,"several"
"235","Israel",2004,"firm_uni_share",0.503311258278146,"several"
"236","Israel",2005,"firm_uni_share",0.427672955974843,"several"
"237","Israel",2006,"firm_uni_share",0.4375,"several"
"238","Israel",2007,"firm_uni_share",0.497297297297297,"several"
"239","Israel",2008,"firm_uni_share",0.470198675496689,"several"
"240","Israel",2009,"firm_uni_share",0.482758620689655,"several"
"241","Israel",2010,"firm_uni_share",0.473053892215569,"several"
"242","Israel",2011,"firm_uni_share",0.5,"several"
"243","Israel",2012,"firm_uni_share",0.388888888888889,"several"
"244","Israel",2013,"firm_uni_share",0.5,"several"
"245","Israel",2014,"firm_uni_share",0.439024390243902,"several"
"246","Israel",2015,"firm_uni_share",0.477272727272727,"several"
"247","Israel",2016,"firm_uni_share",0.52258064516129,"several"
"248","Israel",2017,"firm_uni_share",0.588235294117647,"several"
"249","Israel",2018,"firm_uni_share",0.475609756097561,"several"
"250","Israel",2019,"firm_uni_share",0.510526315789474,"several"
"251","Israel",2020,"firm_uni_share",0.559322033898305,"several"
"252","Israel",2021,"firm_uni_share",0.59349593495935,"several"
"253","Italy",1986,"firm_uni_share",0.333333333333333,"several"
"254","Italy",1987,"firm_uni_share",0.25,"several"
"255","Italy",1988,"firm_uni_share",0.229166666666667,"several"
"256","Italy",1989,"firm_uni_share",0.21875,"several"
"257","Italy",1990,"firm_uni_share",0.242857142857143,"several"
"258","Italy",1991,"firm_uni_share",0.307262569832402,"several"
"259","Italy",1992,"firm_uni_share",0.294372294372294,"several"
"260","Italy",1993,"firm_uni_share",0.337164750957854,"several"
"261","Italy",1994,"firm_uni_share",0.33134328358209,"several"
"262","Italy",1995,"firm_uni_share",0.293478260869565,"several"
"263","Italy",1996,"firm_uni_share",0.403846153846154,"several"
"264","Italy",1997,"firm_uni_share",0.371196754563895,"several"
"265","Italy",1998,"firm_uni_share",0.431372549019608,"several"
"266","Italy",1999,"firm_uni_share",0.402127659574468,"several"
"267","Italy",2000,"firm_uni_share",0.411530815109344,"several"
"268","Italy",2001,"firm_uni_share",0.337129840546697,"several"
"269","Italy",2002,"firm_uni_share",0.347248576850095,"several"
"270","Italy",2003,"firm_uni_share",0.452427184466019,"several"
"271","Italy",2004,"firm_uni_share",0.421731123388582,"several"
"272","Italy",2005,"firm_uni_share",0.407960199004975,"several"
"273","Italy",2006,"firm_uni_share",0.423611111111111,"several"
"274","Italy",2007,"firm_uni_share",0.422535211267606,"several"
"275","Italy",2008,"firm_uni_share",0.440456769983687,"several"
"276","Italy",2009,"firm_uni_share",0.483037156704362,"several"
"277","Italy",2010,"firm_uni_share",0.485496183206107,"several"
"278","Italy",2011,"firm_uni_share",0.488200589970501,"several"
"279","Italy",2012,"firm_uni_share",0.523006134969325,"several"
"280","Italy",2013,"firm_uni_share",0.48567335243553,"several"
"281","Italy",2014,"firm_uni_share",0.549317147192716,"several"
"282","Italy",2015,"firm_uni_share",0.560761346998536,"several"
"283","Italy",2016,"firm_uni_share",0.563492063492063,"several"
"284","Italy",2017,"firm_uni_share",0.590243902439024,"several"
"285","Italy",2018,"firm_uni_share",0.578861788617886,"several"
"286","Italy",2019,"firm_uni_share",0.61094674556213,"several"
"287","Italy",2020,"firm_uni_share",0.592121982210928,"several"
"288","Italy",2021,"firm_uni_share",0.603729603729604,"several"
"289","Japan",1986,"firm_uni_share",0.128205128205128,"several"
"290","Japan",1987,"firm_uni_share",0.1,"several"
"291","Japan",1988,"firm_uni_share",0.129129129129129,"several"
"292","Japan",1989,"firm_uni_share",0.18,"several"
"293","Japan",1990,"firm_uni_share",0.178981937602627,"several"
"294","Japan",1991,"firm_uni_share",0.148255813953488,"several"
"295","Japan",1992,"firm_uni_share",0.144827586206897,"several"
"296","Japan",1993,"firm_uni_share",0.15607476635514,"several"
"297","Japan",1994,"firm_uni_share",0.184210526315789,"several"
"298","Japan",1995,"firm_uni_share",0.191326530612245,"several"
"299","Japan",1996,"firm_uni_share",0.23167606355715,"several"
"300","Japan",1997,"firm_uni_share",0.24697445091887,"several"
"301","Japan",1998,"firm_uni_share",0.260698689956332,"several"
"302","Japan",1999,"firm_uni_share",0.257931602801813,"several"
"303","Japan",2000,"firm_uni_share",0.238321456848773,"several"
"304","Japan",2001,"firm_uni_share",0.215355086372361,"several"
"305","Japan",2002,"firm_uni_share",0.236298649722002,"several"
"306","Japan",2003,"firm_uni_share",0.269008104978773,"several"
"307","Japan",2004,"firm_uni_share",0.270833333333333,"several"
"308","Japan",2005,"firm_uni_share",0.257628427964465,"several"
"309","Japan",2006,"firm_uni_share",0.27625,"several"
"310","Japan",2007,"firm_uni_share",0.275332225913621,"several"
"311","Japan",2008,"firm_uni_share",0.282368537339814,"several"
"312","Japan",2009,"firm_uni_share",0.288539325842697,"several"
"313","Japan",2010,"firm_uni_share",0.283325370281892,"several"
"314","Japan",2011,"firm_uni_share",0.277938342967245,"several"
"315","Japan",2012,"firm_uni_share",0.282526115859449,"several"
"316","Japan",2013,"firm_uni_share",0.301579466929911,"several"
"317","Japan",2014,"firm_uni_share",0.299195710455764,"several"
"318","Japan",2015,"firm_uni_share",0.317249029395452,"several"
"319","Japan",2016,"firm_uni_share",0.310701956271577,"several"
