"","countries","count_paper","count_patent","pap_log","pat_log"
"124","Nicaragua",5,0,1.79175946922805,0
"125","Niger",1,0,0.693147180559945,0
"126","Nigeria",202,1,5.31320597904179,0.693147180559945
"127","North Korea",6,0,1.94591014905531,0
"128","North Macedonia",27,0,3.3322045101752,0
"129","Norway",3350,97,8.11701408773731,4.58496747867057
"130","Oman",68,0,4.23410650459726,0
"131","Pakistan",819,1,6.7093043402583,0.693147180559945
"132","Palestine",34,0,3.55534806148941,0
"133","Panama",11,0,2.484906649788,0
"134","Papua New Guinea",6,0,1.94591014905531,0
"135","Paraguay",12,0,2.56494935746154,0
"136","Peru",82,0,4.4188406077966,0
"137","Philippines",150,1,5.01727983681492,0.693147180559945
"138","Poland",5576,33,8.62640627638955,3.52636052461616
"139","Portugal",1786,15,7.48829351515943,2.77258872223978
"140","Puerto Rico",177,0,5.18178355029209,0
"141","Qatar",186,1,5.23110861685459,0.693147180559945
"142","Reunion",3,0,1.38629436111989,0
"143","Romania",322,0,5.77765232322266,0
"144","Russian Federation",4023,75,8.30003171177957,4.33073334028633
"145","Rwanda",8,0,2.19722457733622,0
"146","Saint Kitts and Nevis",10,0,2.39789527279837,0
"147","Saint Lucia",1,0,0.693147180559945,0
"148","Saint Vincent and the Grenadines",2,0,1.09861228866811,0
"149","Samoa",1,0,0.693147180559945,0
"150","San Marino",2,0,1.09861228866811,0
"151","Saudi Arabia",1684,16,7.42952084278646,2.83321334405622
"152","Senegal",15,0,2.77258872223978,0
"153","Serbia",514,2,6.24416690066374,1.09861228866811
"154","Sierra Leone",2,0,1.09861228866811,0
"155","Singapore",2011,96,7.60688453121963,4.57471097850338
"156","Slovakia",741,9,6.60934924316738,2.30258509299405
"157","Slovenia",409,5,6.01615715969835,1.79175946922805
"158","South Africa",758,14,6.63200177739563,2.70805020110221
"159","South Georgia and the South Sandwich Islands",1,0,0.693147180559945,0
"160","South Korea",18809,512,9.84214392229508,6.24027584517077
"161","Spain",12336,153,9.42035815607147,5.03695260241363
"162","Sri Lanka",95,3,4.56434819146784,1.38629436111989
"163","Sudan",90,0,4.51085950651685,0
"164","Suriname",1,0,0.693147180559945,0
"165","Swaziland",1,0,0.693147180559945,0
"166","Sweden",10994,245,9.30519590298886,5.50533153593236
"167","Switzerland",9969,451,9.20733586295588,6.11368217983223
"168","Syrian Arab Republic",30,0,3.43398720448515,0
"169","Taiwan",8099,231,8.99961934066053,5.44673737166631
"170","Tanzania",43,0,3.78418963391826,0
"171","Thailand",1950,8,7.57609734062311,2.19722457733622
"172","Togo",1,0,0.693147180559945,0
"173","Trinidad and Tobago",9,0,2.30258509299405,0
"174","Tunisia",404,1,6.00388706710654,0.693147180559945
"175","Turkey",2123,7,7.66105638236183,2.07944154167984
"176","Turkmenistan",3,0,1.38629436111989,0
"177","Turks & Caicos Islands",0,4,0,1.6094379124341
"178","Uganda",40,0,3.71357206670431,0
"179","Ukraine",437,9,6.08221891037645,2.30258509299405
"180","United Arab Emirates",205,0,5.32787616878958,0
"181","United Kingdom",28806,1001,10.2683736921464,6.90975328164481
"182","United States",178683,19846,12.0933741616046,9.89580814119226
"183","Uruguay",217,0,5.38449506278909,0
"184","Uzbekistan",12,7,2.56494935746154,2.07944154167984
"185","Venezuela",124,1,4.8283137373023,0.693147180559945
"186","Vietnam",272,4,5.60947179518496,1.6094379124341
"187","Virgin Islands (U.S.)",2,0,1.09861228866811,0
"188","Yemen",21,0,3.09104245335832,0
"189","Zambia",26,0,3.29583686600433,0
"190","Zimbabwe",10,0,2.39789527279837,0
